code,yoy,mom
8114,-17.06,-13.72
8163,16.41,-0.42
8210,37.3,21.81
9912,-10.13,-9.68
2323,16.91,6.34
2349,-2.01,-1.3
2374,27.81,-6.99
2393,10.2,1.03
2406,121.19,-8.79
2409,-1.4,7.86
2426,3.12,11.39
2429,19.59,41.81
2438,13.04,7.71
2466,-33.25,-35.07
2486,31.37,3.95
2489,8.97,6.47
2491,6.02,-5.05
3008,42.67,-14.35
3019,16.24,5.38
3024,-57.56,-18.31
3031,32.23,-3.6
3038,-7.16,-3.84
3049,-72.73,0.66
3050,-4.72,-3.23
3051,36.6,14.06
3059,1.75,3.12
3149,-6.73,7.07
3168,9.82,-3.97
3356,-4.06,-27.94
3406,30.24,-29.61
3437,8.09,12.22
3481,10.27,-2.77
3504,16.06,2.21
3535,2229.02,458.5
3543,2.76,-6.86
3563,5.14,1.68
3576,27.62,43.94
3591,5.15,-7.3
3622,-0.87,0.1
3714,8.11,-0.49
4934,281.1,36.93
4942,-4.54,-1.92
4949,25.84,-2.98
4956,-0.92,-0.81
4960,-7.4,-2.48
4976,-4.52,-10.3
5234,10.82,1.87
5244,10.1,13.83
5484,152.31,50.33
6116,-10.14,-7.18
6120,-10.23,-1.5
6164,-25.89,-33.12
6168,3.27,-5.5
6176,-11.74,-0.73
6209,70.65,-1.49
6225,87.32,188.97
6226,-2.13,-13.54
6278,2.43,-3.5
6405,230.0,
6443,-40.16,61.91
6477,-1.21,-14.76
6668,12.09,11.72
6706,-15.69,11.23
6742,-50.91,-0.83
6916,44.11,10.53
8104,-33.29,-2.94
8105,-4.18,6.26
8215,15.96,-2.6
2314,4.04,-43.8
2321,-2.52,9.0
2332,13.06,-1.4
2345,56.57,4.61
2412,5.39,-4.75
2419,-27.06,41.09
2424,-64.06,-64.99
2439,6.05,15.72
2444,-25.6,13.63
2450,9.36,-10.49
2455,46.51,0.68
2485,11.3,-33.61
2498,-22.01,12.58
3025,134.58,49.52
3027,-8.36,64.74
3045,3.9,4.92
3047,-8.16,9.42
3062,-33.04,-19.99
3138,6.88,-18.01
3311,13.74,6.92
3380,-7.97,64.62
3419,12.1,25.34
3447,34.19,-4.93
3596,4.22,1.91
3669,-5.57,-5.87
3694,-9.42,10.22
3704,31.13,-16.47
4904,13.72,-0.39
4906,-11.92,10.64
5388,69.95,-5.51
6136,-24.88,-7.3
6142,1.62,22.86
6152,78.63,-26.96
6216,-21.11,-4.36
6285,34.82,6.72
6416,16.49,11.0
6426,70.17,-3.69
6442,116.02,94.67
6674,-23.52,2.74
6792,16.28,5.95
8011,-28.67,41.39
8045,9.02,-51.51
8101,-14.47,-6.23
1471,-66.1,-15.13
1582,-10.75,-20.77
2059,172.05,46.05
2308,43.65,0.46
2313,13.02,7.06
2316,39.07,-11.09
2327,47.46,7.25
2328,1.03,-1.95
2355,11.82,8.38
2367,15.91,27.61
2368,87.29,20.35
2375,2.03,-6.11
2383,114.62,12.17
2385,-11.04,-0.62
2392,15.69,-2.81
2402,13.58,-0.49
2413,40.95,4.59
2415,5.87,-11.2
2420,-9.21,-11.35
2421,14.92,-9.58
2428,29.74,0.61
2431,-36.05,1.85
2440,44.92,-2.57
2457,-10.08,-7.27
2460,71.83,-0.37
2462,2.49,1.53
2467,74.55,14.7
2472,29.95,1.16
2476,48.67,3.12
2478,16.47,0.34
2483,15.0,-3.09
2484,4.72,-8.07
2492,16.48,-0.14
2493,24.9,23.77
3003,52.8,10.98
3011,-40.3,14.04
3015,-9.79,3.67
3021,-9.85,-3.71
3023,17.52,1.71
3026,21.34,-9.54
3032,12.72,-4.44
3037,32.37,0.91
3042,10.49,-5.55
3044,46.56,5.52
3058,1.02,-13.18
3090,19.99,-11.6
3092,16.2,18.53
3229,59.79,-14.41
3296,24.95,20.43
3308,-6.84,0.58
3321,36.44,16.18
3338,2.91,0.25
3376,-16.73,-11.56
3432,217.96,74.28
3501,-7.11,2.98
3533,8.97,-10.34
3550,36.57,-12.59
3593,-45.22,-8.56
3605,15.33,-1.45
3607,-8.43,7.94
3645,-0.36,-4.79
3653,37.74,0.09
3679,-14.25,-3.36
3715,69.11,21.8
4545,-20.5,-27.56
4915,12.67,-0.26
4989,33.87,-14.75
4999,-19.27,-12.06
